scientificName,kingdom,phylum,order,family,genus,species,specificEpithet,decimalLongitude,decimalLatitude,year,month,class,country,datasetName,recordedBy
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-50.270556,-29.885,2016.0,2.0,Magnoliopsida,Brazil,MBM - Herbário do Museu Botânico Municipal,"Demeda, C"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-56.574611,-21.381861,2016.0,10.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-56.610778,-21.392128,2016.0,10.0,Magnoliopsida,Brazil,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,V.J. Pott
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2016.0,12.0,Magnoliopsida,Brazil,IPA - Herbário - IPA Dárdano de Andrade Lima,"Silva, A.M.ª. da"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,0.0,0.0,2016.0,12.0,Magnoliopsida,Brazil,IPA - Herbário - IPA Dárdano de Andrade Lima,"Silva, A.M.ª. da"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-50.270472,-29.885056,2015.0,4.0,Magnoliopsida,Brazil,HUCS - Herbário da Universidade de Caxias do Sul,"Demeda, C."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-50.270556,-29.885,2015.0,4.0,Magnoliopsida,Brazil,FURB - Herbário Dr. Roberto Miguel Klein,"Demeda, C."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-55.532778,-29.629167,2014.0,1.0,Magnoliopsida,Brazil,ICN - Herbário do Instituto de Ciências Naturais,"Silva Filho, PJS; Borges, R"
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,-35.214167,-6.256944,2014.0,8.0,Magnoliopsida,Brazil,HURB - Herbário do Recôncavo da Bahia,"Roque, A.A."
Justicia laevilinguis Lindau,Plantae,Tracheophyta,Lamiales,Acanthaceae,Justicia,Justicia laevilinguis,laevilinguis,,,2014.0,9.0,Magnoliopsida,Brazil,HURB - Herbário do Recôncavo da Bahia,"Sousa,N.X.M."
